Abelian group,आबेली समूह,आबेल गट
supporting hyperplane,आलंबक ऊनविम समतल,आधारी उच्च प्रतल
support of function,फलन का आलंब,फलाचा आधार
suppose,"कल्पना करना, मान लेना","गृहीत धरणे, कल्पना करणे"
supremum,उच्चक,उच्चतम
surd,करणी,करणी
surface,"1. पृष्ठ 2. बहिर्तल 3. सतह, धरातल",पृष्ठ
surface area,पृष्ठीय श्रेत्रफल,पृष्ठ क्षेत्रफळ
surface integral,पृष्ठ-समाकल,पृष्ठीय समाकल
surjection,आच्छादन,अच्छादन
surjective,आच्छादी,अच्छादी
surjective map,आच्छादी प्रतिचित्र,अच्छादी प्रतिचित्र
symbol,प्रतीक,"प्रतीक, चिन्ह"
symbolic logic,प्रतीकात्मक तर्क,प्रतीकात्मक तर्क
symbolic model,प्रतीकात्मक निदर्श,प्रतिकात्मक प्रतिकृती
symmetric,सममित,सममित
symmetrical,सममितीय,सममितीय
symmetric determinant,"सममित सारणिक, सममित डिटर्मिनन्ट",सममित निर्धारक
symmetric difference,सममित अंतर,सममित फरक
symmetric matrix,सममित मैट्रिक्सि,सममित सारणी
system analysis,"तंत्र विश्लेषण, प्रणाली विश्लेषण",प्रणाली विश्लेषण
systematic sampling,क्रमबद्ध प्रतिचयन,क्रमबद्ध निवड
table,"सारणी, टेबल","सारणी, कोष्टक, टेबल"
tableau,"टेब्लो, सारणी",सारणी
table of integrals,समाकल सारणी,समाकल सारणी
tabular,"सारणीबद्ध, सपाट",सारणीबद्ध
tabular form,सारणीबद्ध फार्म,सारणीबद्ध रूप
